
Platform: espressif32
================================================================================
ID                                   MCU      Frequency    Flash    RAM     Name
esp32-c6-devkitm-1                   ESP32C6  160MHz       4MB      320KB   Espressif ESP32-C6-DevKitM-1
esp32-devkitlipo                     ESP32    240MHz       4MB      320KB   OLIMEX ESP32-DevKit-LiPo
esp32-evb                            ESP32    240MHz       4MB      320KB   OLIMEX ESP32-EVB
esp32-gateway                        ESP32    240MHz       4MB      320KB   OLIMEX ESP32-GATEWAY
esp32-h2-devkitm-1                   ESP32H2  96MHz        4MB      320KB   Espressif ESP32-H2-DevKit
esp32-p4-evboard                     ESP32P4  360MHz       16MB     500KB   Espressif ESP32-P4 Function EV Board
esp32-p4                             ESP32P4  360MHz       4MB      320KB   Espressif ESP32-P4 generic
esp32-pico-devkitm-2                 ESP32    240MHz       8MB      320KB   Espressif ESP32-PICO-DevKitM-2
esp32-poe-iso                        ESP32    240MHz       4MB      320KB   OLIMEX ESP32-PoE-ISO
esp32-poe                            ESP32    240MHz       4MB      320KB   OLIMEX ESP32-PoE
esp32-pro                            ESP32    240MHz       4MB      320KB   OLIMEX ESP32-PRO
esp32-s2-franzininho                 ESP32S2  240MHz       4MB      320KB   Franzininho WiFi Board
esp32-s2-kaluga-1                    ESP32S2  240MHz       4MB      320KB   Espressif ESP32-S2-Kaluga-1 Kit
esp32-s2-saola-1                     ESP32S2  240MHz       4MB      320KB   Espressif ESP32-S2-Saola-1
esp32-s3-devkitc-1-n32r8v            ESP32S3  240MHz       32MB     320KB   Espressif ESP32-S3-DevKitC-1-N32R8V (32 MB Flash Octal, 8 MB PSRAM Octal)
esp32-s3-devkitc-1                   ESP32S3  240MHz       8MB      320KB   Espressif ESP32-S3-DevKitC-1-N8 (8 MB QD, No PSRAM)
esp32-s3-devkitc1-n16r16             ESP32S3  240MHz       16MB     320KB   Espressif ESP32-S3-DevKitC-1-N16R16V (16 MB Flash Quad, 16 MB PSRAM Octal)
esp32-s3-devkitc1-n16r2              ESP32S3  240MHz       16MB     320KB   Espressif ESP32-S3-DevKitC-1-N16R2 (16 MB Flash Quad, 2 MB PSRAM Quad)
esp32-s3-devkitc1-n16r8              ESP32S3  240MHz       16MB     320KB   Espressif ESP32-S3-DevKitC-1-N16R8V (16 MB Flash Quad, 8 MB PSRAM Octal)
esp32-s3-devkitc1-n4r2               ESP32S3  240MHz       4MB      320KB   Espressif ESP32-S3-DevKitC-1-N4R2 (4 MB Flash Quad, 2 MB PSRAM Quad)
esp32-s3-devkitc1-n4r8               ESP32S3  240MHz       4MB      320KB   Espressif ESP32-S3-DevKitC-1-N4R8 (4 MB Flash Quad, 8 MB PSRAM Octal)
esp32-s3-devkitc1-n8r2               ESP32S3  240MHz       8MB      320KB   Espressif ESP32-S3-DevKitC-1-N8R2 (8 MB Flash Quad, 2 MB PSRAM quad)
esp32-s3-devkitc1-n8r8               ESP32S3  240MHz       8MB      320KB   Espressif ESP32-S3-DevKitC-1-N8R8 (8 MB Flash Quad, 8 MB PSRAM Octal)
esp32-s3-devkitm-1                   ESP32S3  240MHz       8MB      320KB   Espressif ESP32-S3-DevKitM-1
esp32-s3-fh4r2                       ESP32S3  240MHz       4MB      320KB   Espressif ESP32-S3-FH4R2 (4 MB QD, 2MB PSRAM)
esp32-solo1                          ESP32    160MHz       4MB      320KB   Espressif Generic ESP32-solo1 4M Flash
esp320                               ESP32    240MHz       4MB      320KB   Electronic SweetPeas ESP320
esp32cam                             ESP32    240MHz       4MB      320KB   AI Thinker ESP32-CAM
esp32dev                             ESP32    240MHz       4MB      320KB   Espressif ESP32 Dev Module
esp32doit-devkit-v1                  ESP32    240MHz       4MB      320KB   DOIT ESP32 DEVKIT V1
esp32doit-espduino                   ESP32    240MHz       4MB      320KB   DOIT ESPduino32
esp32s3_120_16_8-qio_opi             ESP32S3  240MHz       16MB     320KB   ESP32-S3 16MB QIO, 8MB OPI PSRAM
esp32s3_powerfeather                 ESP32S3  240MHz       8MB      320KB   ESP32-S3 PowerFeather
esp32s3box                           ESP32S3  240MHz       16MB     320KB   Espressif ESP32-S3-Box
esp32s3camlcd                        ESP32S3  240MHz       8MB      320KB   ESP32S3 CAM LCD
esp32s3usbotg                        ESP32S3  240MHz       8MB      320KB   Espressif ESP32-S3-USB-OTG
esp32thing                           ESP32    240MHz       4MB      320KB   SparkFun ESP32 Thing
esp32thing_plus                      ESP32    240MHz       16MB     320KB   SparkFun ESP32 Thing Plus
esp32vn-iot-uno                      ESP32    240MHz       4MB      320KB   ESP32vn IoT Uno
espea32                              ESP32    240MHz       4MB      320KB   April Brother ESPea32
espectro32                           ESP32    240MHz       4MB      320KB   ESPectro32
espino32                             ESP32    240MHz       4MB      320KB   ESPino32
etboard                              ESP32    240MHz       4MB      320KB   ETBoard
featheresp32-s2                      ESP32S2  240MHz       4MB      320KB   Adafruit ESP32-S2 Feather Development Board
featheresp32                         ESP32    240MHz       4MB      320KB   Adafruit ESP32 Feather
firebeetle32                         ESP32    240MHz       16MB     520KB   FireBeetle-ESP32
fm-devkit                            ESP32    240MHz       4MB      320KB   ESP32 FM DevKit
franzininho_wifi_esp32s2             ESP32S2  240MHz       4MB      320KB   Franzininho WiFi
franzininho_wifi_msc_esp32s2         ESP32S2  240MHz       4MB      320KB   Franzininho WiFi MSC
